nivel,dependencia,programa,hombre,mujer
Nivel Superior,Escuela Superior de Ingeniería Textil,Ingeniería Textil,453,1103
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Tecamachalco",Ingeniero Arquitecto,2813,2198
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Ticomán",Ingeniería en Meteorología,9,13
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Ticomán",Ingeniería Geofísica,250,259
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Ticomán",Ingeniería Geológica,250,289
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Ticomán",Ingeniería Petrolera,364,235
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Ticomán",Ingeniería Topográfica y Fotogramétrica,269,195
Nivel Superior,"Escuela Superior de Ingeniería y Arquitectura, Unidad Zacatenco",Ingeniería Civil,4668,2165
Nivel Superior,Escuela Superior de Medicina,Médico Cirujano y Partero,1610,2742
Nivel Superior,Escuela Superior de Turismo,Licenciatura en Turismo,1096,3017
Nivel Superior,Unidad Profesional Interdisciplinaria de Biotecnología,Ingeniería Ambiental,192,343
Nivel Superior,Unidad Profesional Interdisciplinaria de Biotecnología,Ingeniería Biomédica,406,377
Nivel Superior,Unidad Profesional Interdisciplinaria de Biotecnología,Ingeniería Biotecnológica,292,377
Nivel Superior,Unidad Profesional Interdisciplinaria de Biotecnología,Ingeniería en Alimentos,200,415
Nivel Superior,Unidad Profesional Interdisciplinaria de Biotecnología,Ingeniería Farmacéutica,240,388
Nivel Superior,Unidad Profesional Interdisciplinaria de Energía y Movilidad,Ingeniería en Movilidad Urbana,139,99
Nivel Superior,Unidad Profesional Interdisciplinaria de Energía y Movilidad,Ingeniería en Negocios Energéticos Sustentables,158,194
Nivel Superior,Unidad Profesional Interdisciplinaria de Energía y Movilidad,Ingeniería en Sistemas Energéticos y Redes Inteligentes,219,122
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería ""Alejo Peralta""",Ingeniería en Alimentos,6,22
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería ""Alejo Peralta""",Ingeniería en Control y Automatización,19,10
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería ""Alejo Peralta""",Ingeniería en Inteligencia Artificial,17,13
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería ""Alejo Peralta""",Ingeniería en Sistemas Automotrices,29,10
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería ""Alejo Peralta""",Licenciatura en Ciencia de Datos,25,13
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Coahuila",Ingeniería en Control y Automatización,24,5
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Coahuila",Ingeniería en Inteligencia Artificial,0,0
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Coahuila",Licenciatura en Ciencia de Datos,0,0
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Guanajuato",Ingeniería Aeronáutica,424,144
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Guanajuato",Ingeniería Biotecnológica,190,305
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Guanajuato",Ingeniería en Sistemas Automotrices,604,85
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Guanajuato",Ingeniería Farmacéutica,106,203
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Guanajuato",Ingeniería Industrial,311,227
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Hidalgo",Ingeniería en Sistemas Automotrices,265,25
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Hidalgo",Ingeniería Mecatrónica,359,79
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Palenque",Ingeniería Biotecnológica,63,66
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Palenque",Ingeniería Civil,137,74
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Palenque",Ingeniería Ferroviaria,81,32
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Palenque",Licenciatura en Turismo Sustentable,33,94
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",Ingeniería Ambiental,41,58
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",Ingeniería en Alimentos,21,50
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",Ingeniería en Inteligencia Artificial,38,9
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",Ingeniería en Sistemas Computacionales,169,52
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",Ingeniería Mecatrónica,298,70
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Campus Zacatecas",Ingeniería Metalúrgica,71,43
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Ingeniería en Informática,1654,398
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Ingeniería en Sistemas Automotrices,146,5
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Ingeniería en Transporte,846,513
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Ingeniería Ferroviaria,284,94
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Ingeniería Industrial,2081,1353
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Licenciatura en Administración Industrial,1187,1794
Nivel Superior,"Unidad Profesional Interdisciplinaria de Ingeniería, Ciencias Sociales y Administrativas",Licenciatura en Ciencias de la Informática,1199,490
Nivel Superior,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas,Ingeniería Biónica,470,233
Nivel Superior,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas,Ingeniería en Energía,297,94
Nivel Superior,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas,Ingeniería en Sistemas Automotrices,64,1
Nivel Superior,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas,Ingeniería Mecatrónica,1490,219
Nivel Superior,Unidad Profesional Interdisciplinaria en Ingeniería y Tecnologías Avanzadas,Ingeniería Telemática,533,192
Nivel Superior,"Unidad Profesional Interdisciplinaria en Ingeniería, Campus Tlaxcala",Ingeniería Biotecnológica,72,84
Nivel Superior,"Unidad Profesional Interdisciplinaria en Ingeniería, Campus Tlaxcala",Ingeniería en Inteligencia Artificial,117,36
Nivel Superior,"Unidad Profesional Interdisciplinaria en Ingeniería, Campus Tlaxcala",Ingeniería en Sistemas Automotrices,106,15
Nivel Superior,"Unidad Profesional Interdisciplinaria en Ingeniería, Campus Tlaxcala",Ingeniería en Transporte,54,36
Nivel Superior,"Unidad Profesional Interdisciplinaria en Ingeniería, Campus Tlaxcala",Licenciatura en Ciencia de Datos,57,48
